SampleID	Diet_Classification	MouseStrain
SRS1366815	LFD	C57BL6
SRS1366816	LFD	C57BL6
SRS1366817	LFD	C57BL6
SRS1366818	LFD	C57BL6
SRS1366819	LFD	C57BL6
SRS1366820	LFD	C57BL6
SRS1366821	LFD	C57BL6
SRS1366822	LFD	C57BL6
SRS1366823	LFD	C57BL6
SRS1366824	LFD	C57BL6
SRS1366825	LFD	C57BL6
SRS1366826	LFD	C57BL6
SRS1366827	LFD	C57BL6
SRS1366828	LFD	C57BL6
SRS1366829	LFD	C57BL6
SRS1366840	LFD	C57BL6
SRS1366841	LFD	C57BL6
SRS1366842	LFD	C57BL6
SRS1366843	LFD	C57BL6
SRS1366844	LFD	C57BL6
SRS1366845	LFD	C57BL6
SRS1366846	LFD	C57BL6
SRS1366847	LFD	C57BL6
SRS1366848	HFD	C57BL6
SRS1366849	HFD	C57BL6
SRS1366850	HFD	C57BL6
SRS1366851	HFD	C57BL6
SRS1366852	HFD	C57BL6
SRS1366853	HFD	C57BL6
SRS1366854	HFD	C57BL6
SRS1366860	HFD	C57BL6
SRS1366861	HFD	C57BL6
SRS1366862	HFD	C57BL6
SRS1366863	HFD	C57BL6
SRS1366864	HFD	C57BL6
SRS1366865	LFD	C57BL6
SRS1366872	LFD	C57BL6
SRS066861	LFD	NA
SRS066703	LFD	NA
ERS606288	LFD	129S
ERS606289	HFD	129S
ERS606290	LFD	129S
ERS606291	HFD	129S
ERS606292	LFD	129S
ERS606293	HFD	129S
ERS606294	LFD	129S
ERS606295	HFD	129S
ERS606296	LFD	129S
ERS606297	HFD	129S
ERS606298	LFD	129S
ERS606299	HFD	129S
ERS606300	LFD	129S
ERS606301	HFD	129S
ERS606302	LFD	129S
ERS606303	HFD	129S
ERS606304	LFD	129S
ERS606305	HFD	129S
ERS606306	LFD	129S
ERS606307	HFD	129S
ERS606308	LFD	C57BL6
ERS606309	HFD	C57BL6
ERS606310	LFD	C57BL6
ERS606311	HFD	C57BL6
ERS606312	LFD	C57BL6
ERS606313	HFD	C57BL6
ERS606314	LFD	C57BL6
ERS606315	HFD	C57BL6
ERS606316	LFD	C57BL6
ERS606317	LFD	C57BL6
ERS606318	HFD	C57BL6
ERS606319	LFD	C57BL6
ERS606320	HFD	C57BL6
ERS606321	HFD	C57BL6
ERS606322	HFD	C57BL6
ERS606323	HFD	C57BL6
ERS606324	HFD	C57BL6
ERS606325	HFD	C57BL6
ERS606326	HFD	C57BL6
ERS606327	HFD	C57BL6
ERS606328	HFD	C57BL6
ERS606329	HFD	C57BL6
ERS606330	HFD	C57BL6
ERS606331	LFD	C57BL6
ERS606332	LFD	C57BL6
ERS606333	LFD	C57BL6
ERS606334	LFD	C57BL6
ERS606335	LFD	C57BL6
ERS606336	LFD	C57BL6
ERS606337	LFD	C57BL6
ERS606338	LFD	C57BL6
ERS606339	LFD	C57BL6
ERS606340	LFD	C57BL6
ERS606341	LFD	C57BL6
ERS606342	LFD	C57BL6
ERS606343	LFD	C57BL6
ERS606344	LFD	C57BL6
